,Number of iterations,Number of cuts,Number of executions,Average error
0,179.0,2.0,179.0,8.476598950254843e-05
1,203.0,1.0,203.0,4.997276833736131e-06
2,125.0,2.0,125.0,0.00031223002214490715
3,160.0,1.0,160.0,4.272094005677851e-06
4,119.0,2.0,119.0,0.00015152458186767857
5,293.0,2.0,293.0,8.833054837018841e-05
6,218.0,1.0,218.0,9.643894234773187e-06
7,363.0,2.0,363.0,0.0001235035918846146
8,202.0,2.0,202.0,3.648498186269192e-05
9,161.0,2.0,161.0,8.153404747572011e-05
10,147.0,1.0,147.0,4.878485610298328e-06
11,178.0,1.0,178.0,5.084158442546227e-06
12,262.0,2.0,262.0,8.871719331937254e-05
13,205.0,1.0,205.0,3.4294087277730867e-06
14,195.0,1.0,195.0,3.3985279630083243e-06
15,212.0,1.0,212.0,5.986047033834652e-06
16,159.0,1.0,159.0,1.1226768884244065e-05
17,98.0,2.0,98.0,0.0016629162521358324
18,159.0,1.0,159.0,1.5635044258954095e-05
19,129.0,2.0,129.0,0.00019723743103409468
20,193.0,1.0,193.0,7.420248523820616e-06
21,234.0,2.0,234.0,5.55849781798612e-05
22,188.0,1.0,188.0,5.2560309890814505e-06
23,186.0,1.0,186.0,1.1252648226919848e-05
24,150.0,1.0,150.0,1.7088532069282902e-05
25,182.0,1.0,182.0,1.0000390236717532e-05
26,126.0,2.0,126.0,0.0003316643134499194
27,205.0,1.0,205.0,5.760289595792278e-06
28,186.0,1.0,186.0,6.661409160273191e-06
29,205.0,1.0,205.0,4.756984953613319e-06
30,200.0,2.0,200.0,8.493412302290528e-05
31,207.0,2.0,207.0,1.355519580983032e-05
32,144.0,2.0,144.0,0.00016973977058435072
33,169.0,1.0,169.0,3.215377601313574e-05
34,254.0,2.0,254.0,0.00012922228018363122
35,211.0,1.0,211.0,7.916943759463113e-06
36,171.0,1.0,171.0,1.683394011096212e-05
37,203.0,1.0,203.0,6.601158745688646e-06
38,212.0,1.0,212.0,5.840295976058778e-06
39,161.0,2.0,161.0,0.00010772480335857644
40,120.0,2.0,120.0,0.00048168947286365073
41,230.0,2.0,230.0,4.541569485406958e-05
42,220.0,2.0,220.0,8.817367104335628e-05
43,198.0,1.0,198.0,3.3018984512689364e-06
44,127.0,2.0,127.0,0.0004391725250048593
45,111.0,2.0,111.0,0.0012121934852129155
46,185.0,1.0,185.0,1.0073161198040359e-05
47,148.0,2.0,148.0,0.00011110138795952984
48,218.0,1.0,218.0,2.8898982441794008e-06
49,158.0,1.0,158.0,1.1445614105782403e-05
50,205.0,1.0,205.0,3.360723710318231e-06
51,105.0,2.0,105.0,0.0008307660508772237
52,183.0,1.0,183.0,8.091608735306954e-06
53,205.0,1.0,205.0,4.724812704699766e-06
54,129.0,2.0,129.0,0.00027849420066077576
55,187.0,1.0,187.0,8.452414635196775e-06
56,141.0,2.0,141.0,9.995388650116659e-05
57,115.0,2.0,115.0,0.00031714408931639656
58,147.0,2.0,147.0,8.215153292759217e-05
59,148.0,2.0,148.0,0.0001686750629179779
60,213.0,1.0,213.0,3.848585631363588e-06
61,114.0,2.0,114.0,0.0003799522286354169
62,215.0,1.0,215.0,4.471547313408819e-06
63,282.0,2.0,282.0,3.106064537913237e-05
64,132.0,2.0,132.0,0.00027762085652827405
65,228.0,2.0,228.0,8.304894480836427e-05
66,232.0,2.0,232.0,8.904104059711066e-05
67,143.0,2.0,143.0,0.00016430480464432753
68,178.0,2.0,178.0,7.11054192462624e-05
69,189.0,1.0,189.0,6.494750525685988e-06
70,194.0,1.0,194.0,3.091954856079826e-06
71,131.0,2.0,131.0,0.00014561736196056405
72,152.0,2.0,152.0,0.00010282245722561193
73,72.0,2.0,72.0,0.00248556823248626
74,194.0,1.0,194.0,1.2070016016274554e-05
75,141.0,2.0,141.0,0.00014325961352203978
76,236.0,2.0,236.0,7.74210861738208e-05
77,180.0,1.0,180.0,5.492289367942105e-06
78,195.0,1.0,195.0,6.5840323292196135e-06
79,193.0,1.0,193.0,4.648054588069633e-06
80,161.0,1.0,161.0,9.684532573966953e-06
81,199.0,1.0,199.0,4.3517795141057025e-06
82,215.0,1.0,215.0,6.129059938922432e-06
83,151.0,2.0,151.0,0.0003497467768904938
